,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
0,Alex Abrines,SG,23,OKC,68,6,15.5,2.0,5.0,.393,1.4,3.6,.381,0.6,1.4,.426,.531,0.6,0.7,.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.096,-1.3,-1.6,0.1,,79%,21%,,,-1.1,-2.2,17,7,62,4,15,10,94,4,8
1,Quincy Acy,PF,26,TOT,38,1,14.7,1.8,4.5,.412,1.0,2.4,.411,0.9,2.1,.413,.521,1.2,1.6,.750,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,11.8,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,.082,-1.5,-2.1,0.0,,,2%,81%,17%,-3.7,1.2,5,7,25,6,24,5,42,7,8
2,Steven Adams,C,23,OKC,80,80,29.9,4.7,8.2,.571,0.0,0.0,.000,4.7,8.2,.572,.571,2.0,3.2,.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,.130,-0.2,-0.2,1.1,,,,,100%,3.5,7.6,37,57,75,32,117,7,217,28,43
3,Arron Afflalo,SG,31,SAC,61,45,25.9,3.0,6.9,.440,1.0,2.5,.411,2.0,4.4,.457,.514,1.4,1.5,.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,.043,-2.1,-3.6,-0.7,4%,66%,30%,,,-7.5,-5.9,18,10,49,8,30,3,185,7,28
4,Alexis Ajinca,C,28,NOP,39,15,15.0,2.3,4.6,.500,0.0,0.1,.000,2.3,4.5,.511,.500,0.7,1.0,.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-4.0,-3.3,-0.2,,,,,100%,-5.0,-3.6,7,8,44,8,21,0,27,7,14
5,Cole Aldrich,C,28,MIN,62,0,8.6,0.7,1.4,.523,0.0,0.0,,0.7,1.4,.523,.523,0.2,0.4,.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.3,-0.8,0.2,,,,26%,74%,-1.6,-0.6,0,6,35,7,10,2,59,3,7
6,LaMarcus Aldridge,PF,31,SAS,72,72,32.4,6.9,14.6,.477,0.3,0.8,.411,6.6,13.8,.480,.488,3.1,3.8,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,18.6,.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,.149,0.7,0.8,1.7,,,,69%,31%,5.8,-5.0,33,34,94,15,110,4,345,17,32
7,Lavoy Allen,PF,27,IND,61,5,14.3,1.3,2.8,.458,0.0,0.0,.000,1.3,2.7,.461,.458,0.4,0.5,.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,11.6,.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,-1.7,0.1,,,,84%,16%,-5.9,-7.3,18,7,50,2,10,0,135,3,13
8,Tony Allen,SG,35,MEM,71,66,27.0,3.9,8.4,.461,0.2,0.8,.278,3.6,7.6,.479,.473,1.1,1.8,.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-2.0,-1.0,0.5,2%,77%,21%,,,1.6,1.7,49,30,78,6,58,7,214,12,73
9,Al-Farouq Aminu,PF,26,POR,61,25,29.1,3.0,7.6,.393,1.1,3.5,.330,1.9,4.2,.445,.468,1.6,2.2,.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,11.3,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,.051,-1.4,-1.1,0.4,,,,95%,5%,1.8,3.9,35,30,48,9,67,11,241,13,24
